lon(deg),lat(deg),alt(m) 'select st_asgeojson(shape) from adasdemo'
113.206553430063,23.0077577550917,-2.66313572771568
113.206554195417,23.0077577060354,-2.6634831256103
113.206554962714,23.0077576568145,-2.66383133223882
113.206555731953,23.0077576074286,-2.66418034703922
113.206556503135,23.0077575578775,-2.66453016944811
113.20655727626,23.0077575081608,-2.66488079890076
113.206558051328,23.0077574582784,-2.66523223483112
113.206558828338,23.00775740823,-2.66558447667177
113.206559607291,23.0077573580152,-2.66593752385396
113.206560388187,23.0077573076338,-2.6662913758076
113.206561171025,23.0077572570856,-2.66664603196124
113.206561955806,23.0077572063702,-2.66700149174212
113.20656274253,23.0077571554874,-2.66735775457611
113.206563531196,23.0077571044369,-2.66771481988776
113.206564321804,23.0077570532183,-2.66807268710028
113.206565114355,23.0077570018316,-2.66843135563553
113.206565908849,23.0077569502763,-2.66879082491404
