lon(deg),lat(deg),alt(m) 'select st_asgeojson(shape) from adasline'
113.208197733683,23.0075984869677,-3.370703
113.208203791433,23.0075978092577,-3.374665
113.208209834753,23.0075971331677,-3.378622
113.208215864853,23.0075964585577,-3.382573
113.208221881783,23.0075957854177,-3.386517
113.2082272366,23.00759440576,-3.390454
113.20823322725,23.00759373556,-3.394382
113.20823920482,23.00759306683,-3.398301
113.20824516933,23.00759239955,-3.40221
113.20825112198,23.0075917336,-3.406108
113.20825706046,23.00759106924,-3.409995
113.20826298597,23.00759040632,-3.41387
113.20826889852,23.00758974486,-3.417733
113.20827479819,23.00758908484,-3.421582
113.20828068497,23.00758842626,-3.425419
113.20828655892,23.00758776911,-3.429241
113.20829242004,23.0075871134,-3.43305
113.20829826837,23.00758645912,-3.436844
113.20830410394,23.00758580627,-3.440624
113.2083099279,23.00758515471,-3.444389
113.20831573804,23.0075845047,-3.448139
113.20832153552,23.00758385611,-3.451874
113.20832732036,23.00758320893,-3.455594
113.20833309261,23.00758256316,-3.459299
113.20833885227,23.0075819188,-3.462988
113.20834459937,23.00758127584,-3.466662
113.20835033398,23.00758063428,-3.470321
113.2083560561,23.00757999412,-3.473964
113.20836176574,23.00757935535,-3.477593
113.20836746297,23.00757871797,-3.481206
113.2083731478,23.00757808198,-3.484805
113.20837882131,23.00757744726,-3.488388
113.20838448144,23.00757681403,-3.491957
113.20839012926,23.00757618218,-3.495512
113.20839576482,23.0075755517,-3.499053
113.20840138812,23.00757492259,-3.50258
113.20840699922,23.00757429484,-3.506094
113.20841259813,23.00757366846,-3.509594
113.20841818488,23.00757304344,-3.513081
113.20842375951,23.00757241978,-3.516556
113.20842932204,23.00757179747,-3.520019
113.20843487252,23.0075711765,-3.523471
113.20844041096,23.00757055689,-3.526912
113.20844593739,23.00756993861,-3.530343
113.20845145185,23.00756932168,-3.533764
113.20845695437,23.00756870608,-3.537176
113.20846244593,23.00756809171,-3.54058
113.20846792464,23.00756747877,-3.543977
113.20847339151,23.00756686716,-3.547367
113.20847884656,23.00756625687,-3.550752
113.2084842898,23.0075656479,-3.554132
113.20848972129,23.00756504025,-3.557508
113.20849514104,23.00756443391,-3.560882
113.20850054909,23.00756382888,-3.564255
113.20850594548,23.00756322515,-3.567628
113.20851133021,23.00756262273,-3.571002
113.20851670335,23.0075620216,-3.574379
113.20852206489,23.00756142177,-3.57776
113.2085274149,23.00756082324,-3.581146
113.20853275338,23.00756022599,-3.58454
113.20853808035,23.00755963002,-3.587942
113.20854339588,23.00755903534,-3.591355
113.20854869998,23.00755844194,-3.59478
113.20855399267,23.00755784981,-3.598218
113.20855927399,23.00755725896,-3.601672
113.20856454397,23.00755666937,-3.605143
113.20856980265,23.00755608105,-3.608633
113.20857505004,23.00755549399,-3.612144
113.20858028702,23.00755490809,-3.615678
113.20858551194,23.00755432355,-3.619237
113.20859072567,23.00755374025,-3.622822
113.20859592824,23.00755315821,-3.626435
113.20860111969,23.0075525774,-3.630078
113.20860630003,23.00755199784,-3.633753
113.2086114693,23.00755141952,-3.637462
113.20861662753,23.00755084244,-3.641205
113.20862177476,23.00755026658,-3.644985
113.208626911,23.00754969195,-3.648803
113.20863203631,23.00754911855,-3.65266
113.20863715068,23.00754854637,-3.656558
113.208641563305,23.0075473692845,-3.660498
113.208646655945,23.0075467995345,-3.664481
113.208651737755,23.0075462309945,-3.668507
113.208656808755,23.0075456636645,-3.672578
113.208661869005,23.0075450975345,-3.676694
113.208666918515,23.0075445326145,-3.680855
113.208671957295,23.0075439688845,-3.685062
113.208676985425,23.0075434063545,-3.689315
113.208682002895,23.0075428450145,-3.693613
113.208687009755,23.0075422848645,-3.697956
113.208692006025,23.0075417258945,-3.702344
113.208696991735,23.0075411681045,-3.706775
113.208701966915,23.0075406114945,-3.71125
113.208706931605,23.0075400560545,-3.715766
113.208711885825,23.0075395017945,-3.720323
113.208716829605,23.0075389486945,-3.724918
113.208721763005,23.0075383967545,-3.729551
113.208726686005,23.0075378459845,-3.734219
113.208731598665,23.0075372963645,-3.73892
113.208736501005,23.0075367479045,-3.743653
113.208741393065,23.0075362005945,-3.748414
113.208746274865,23.0075356544345,-3.753201
113.208751145615,23.0075351095045,-3.758011
113.208756006575,23.0075345656645,-3.762842
113.208760857575,23.0075340229545,-3.767691
113.208765698545,23.0075334813545,-3.772555
113.208770529475,23.0075329408745,-3.777431
113.208775350365,23.0075324015245,-3.782316
113.208780161155,23.0075318633045,-3.787208
113.208784962025,23.0075313261945,-3.792102
113.208789752845,23.0075307902045,-3.796997
113.208794533825,23.0075302553245,-3.80189
113.208799304795,23.0075297215545,-3.806777
113.208804065865,23.0075291888945,-3.811657
113.208808817165,23.0075286573345,-3.816526
113.208813433736,23.0075278993294,-3.821382
113.208818165326,23.0075273699694,-3.826223
113.208822887146,23.0075268416994,-3.831047
113.208827599216,23.0075263145194,-3.835852
113.208832301576,23.0075257884294,-3.840636
113.208836994266,23.0075252634194,-3.845398
113.208841677296,23.0075247394894,-3.850137
