ini lat (deg),ini lon (deg),ini alt (m),ini vx_body (m/s),ini vy_body (m/s),ini vz_body (m/s),ini yaw (deg),ini pitch (deg),ini roll (deg)
1,0.18141295,0.0052437838,0.0049857872,0,0,0,0.05,1
1,0.18012715,0.0052414025,0.0049903471,0,0,0,0.05,1
1,0.17884136,0.0052390188,0.0049948871,0,0,0,0.05,1
1,0.17755557,0.0052366327,0.0049994072,0,0,0,0.05,1
1,0.17626979,0.0052342442,0.0050039074,0,0,0,0.05,1
1,0.17498402,0.0052318532,0.0050083876,0,0,0,0.05,1
1,0.17369825,0.0052294599,0.005012848,0,0,0,0.05,1
1,0.1724125,0.0052270642,0.0050172884,0,0,0,0.05,1
1,0.17112674,0.0052246661,0.0050217089,0,0,0,0.05,1
1,0.169841,0.0052222656,0.0050261096,0,0,0,0.05,1
1,0.16855526,0.0052198626,0.0050304903,0,0,0,0.05,1
1,0.16726953,0.0052174573,0.005034851,0,0,0,0.05,1
1,0.16598381,0.0052150495,0.0050391919,0,0,0,0.05,1
1,0.16469809,0.0052126394,0.0050435129,0,0,0,0.05,1
1,0.16341238,0.0052102269,0.0050478139,0,0,0,0.05,1
1,0.16212668,0.0052078119,0.0050520951,0,0,0,0.05,1
1,0.16084098,0.0052053946,0.0050563563,0,0,0,0.05,1
1,0.15955529,0.0052029748,0.0050605976,0,0,0,0.05,1
1,0.15826961,0.0052005526,0.005064819,0,0,0,0.05,1
1,0.15698393,0.0051981281,0.0050690205,0,0,0,0.05,1
1,0.15569826,0.0051957011,0.0050732021,0,0,0,0.05,1
1,0.1544126,0.0051932718,0.0050773637,0,0,0,0.05,1
1,0.15312694,0.00519084,0.0050815055,0,0,0,0.05,1
1,0.1518413,0.0051884058,0.0050856273,0,0,0,0.05,1
1,0.15055565,0.0051859692,0.0050897293,0,0,0,0.05,1
1,0.14927002,0.0051835302,0.0050938113,0,0,0,0.05,1
1,0.14798439,0.0051810889,0.0050978734,0,0,0,0.05,1
1,0.14669877,0.0051786451,0.0051019156,0,0,0,0.05,1
1,0.14541316,0.0051761989,0.0051059378,0,0,0,0.05,1
1,0.14412755,0.0051737503,0.0051099402,0,0,0,0.05,1
1,0.14284195,0.0051712993,0.0051139227,0,0,0,0.05,1
1,0.14155635,0.0051688459,0.0051178852,0,0,0,0.05,1
1,0.14027077,0.0051663901,0.0051218278,0,0,0,0.05,1
1,0.13898519,0.0051639319,0.0051257505,0,0,0,0.05,1
1,0.13769962,0.0051614713,0.0051296533,0,0,0,0.05,1
1,0.13641405,0.0051590082,0.0051335362,0,0,0,0.05,1
1,0.13512849,0.0051565428,0.0051373992,0,0,0,0.05,1
1,0.13384294,0.005154075,0.0051412423,0,0,0,0.05,1
1,0.13255739,0.0051516048,0.0051450654,0,0,0,0.05,1
1,0.13127185,0.0051491322,0.0051488687,0,0,0,0.05,1
1,0.12998632,0.0051466571,0.005152652,0,0,0,0.05,1
1,0.1287008,0.0051441797,0.0051564154,0,0,0,0.05,1
1,0.12741528,0.0051416998,0.0051601589,0,0,0,0.05,1
1,0.12612977,0.0051392176,0.0051638825,0,0,0,0.05,1
1,0.12484426,0.005136733,0.0051675862,0,0,0,0.05,1
1,0.12355877,0.0051342459,0.0051712699,0,0,0,0.05,1
1,0.12227328,0.0051317565,0.0051749338,0,0,0,0.05,1
1,0.12098779,0.0051292646,0.0051785777,0,0,0,0.05,1
1,0.11970232,0.0051267703,0.0051822018,0,0,0,0.05,1
1,0.11841685,0.0051242737,0.0051858059,0,0,0,0.05,1
1,0.11713138,0.0051217746,0.0051893901,0,0,0,0.05,1
1,0.11584593,0.0051192731,0.0051929544,0,0,0,0.05,1
1,0.11456048,0.0051167693,0.0051964988,0,0,0,0.05,1
1,0.11327503,0.005114263,0.0052000232,0,0,0,0.05,1
1,0.1119896,0.0051117543,0.0052035278,0,0,0,0.05,1
1,0.11070417,0.0051092432,0.0052070124,0,0,0,0.05,1
1,0.10941875,0.0051067298,0.0052104772,0,0,0,0.05,1
1,0.10813333,0.0051042139,0.005213922,0,0,0,0.05,1
1,0.10684793,0.0051016956,0.0052173469,0,0,0,0.05,1
1,0.10556252,0.0050991749,0.0052207519,0,0,0,0.05,1
1,0.10427713,0.0050966518,0.0052241369,0,0,0,0.05,1
1,0.10299174,0.0050941263,0.0052275021,0,0,0,0.05,1
1,0.10170636,0.0050915984,0.0052308474,0,0,0,0.05,1
1,0.10042099,0.0050890681,0.0052341727,0,0,0,0.05,1
1,0.099135621,0.0050865353,0.0052374781,0,0,0,0.05,1
1,0.097850261,0.0050840002,0.0052407637,0,0,0,0.05,1
1,0.096564908,0.0050814627,0.0052440293,0,0,0,0.05,1
1,0.095279561,0.0050789228,0.005247275,0,0,0,0.05,1
1,0.093994222,0.0050763805,0.0052505007,0,0,0,0.05,1
1,0.092708889,0.0050738357,0.0052537066,0,0,0,0.05,1
1,0.091423564,0.0050712886,0.0052568926,0,0,0,0.05,1
1,0.090138245,0.0050687391,0.0052600586,0,0,0,0.05,1
1,0.088852933,0.0050661871,0.0052632047,0,0,0,0.05,1
1,0.087567628,0.0050636328,0.005266331,0,0,0,0.05,1
1,0.08628233,0.005061076,0.0052694373,0,0,0,0.05,1
1,0.084997038,0.0050585169,0.0052725237,0,0,0,0.05,1
